sku,name,erp_sku,erp_name
1FSPRBOT11_12FSPRBA,330cm Bali Oval Table with 12 Brighton Dining Armchairs,,
,,1FSPRBRT5_6FSPRBAS,150cm Bali Round Table with 6 Brighton Dining Armchairs with Standard Grey Cushions
,,FSPRKFWB,Kingston Footrest with Beige Waterproof Cushion
1FSCMOOT6_6FSCMHDA,180cm Oxford Oval Table with 6 Hertford Dining Armchairs,,
,,CYWORMMCST,Spare Cushion for Mayfair Curved Modular Stool
,,1FSPRKMTSRWB_1FSPRKMCEWB_1FSPRKMCOWB_1FSPRKMTSLWB_1FSPRKLAWB_1FS,Kingston Modular Sofa Set H with Beige Waterproof Cushions
,,1YWORMRT6_2YWORMCS2_4YWORMCS1,"Mayfair Round Dining Table - 170cm, 2 Mayfair Double Curved Chairs & 4 Mayfair Single Curved Chairs"
PMAN56,Manson Vase - 56cm,,
PMAN51,Manson Vase - 51cm,,
1FSMPSDT1_4FSMPSDC,100cm Sussex Table with 4 Sussex Dining Chairs - Mocha,,
PVAN05116,Vanuatu Vase - 116cm,,
,,1FSPRBSWG_2FSPRBLAWG_1FSPRBCT,"Brighton Sofa, 2 Lounge Armchairs & Coffee Table with Grey Waterproof Cushions"
PCHRKOP76,Christa Kopa Floor Decor - 76cm,,
PCORCAN50,Corales Candle Holder,,
3FSBFTMCO_2FSBFTMCE_1FSBFTST ,Tilbury Modular Rattan Garden Furniture Set - 6 piece,,
FSPRBS-swgwb,Brighton Sofa,,
,,HCCH13FC,Canterbury Upholstered Dining Chair
PVEN78,Venice Floor Decor - 78cm,,
FSWPSF-lk,Sussex Footrest - Soft White,,
PMON58,Monaco Table Decor,,
FSPRBKS,Brighton Swivel Rocker (No Cushion),,
PHOR45,Horn Table Decor,,
,,1QDLT_2QCFV_4QCFC,"Double Leaf Table - 180cm, 2 Club Folding Armchairs & 4 Folding Chairs"
1FSMPSOT9_8FSMPSA,270cm Sussex Oval Table with 8 Sussex Dining Armchairs - Mocha,,
CFSWRMSB,Waterproof Beige Cushion - Marlow Sunbed,,
,,YW-PART,Wickerline - Part
,,1FSWPSDT1_4FSWPSAL,100cm Sussex Soft White Square Table & 4 Sussex Dining Armchairs with Lime Green Cushions
,,1FSWPSDT1_4FSWPSAK,100cm Sussex Soft White Square Table & 4 Sussex Dining Armchairs with Black Cushions
,,FSSFHSA,Hampstead Stacking Armchair (no cushion) 
,,1FSWPSOT9_8FSWPSAK,270cm Sussex Oval Soft White Table with 8 Sussex Dining Armchairs & Black Cushions
,,1FSWPSOT9_8FSWPSAL,270cm Sussex Oval Soft White Table with 8 Sussex Dining Armchairs & Lime Green Cushions
